,high,avg,low,high.1,avg.1,low.1,high.2,avg.2,low.2,high.3,avg.3,low.3,high.4,avg.4,low.4,high.5,avg.5,high.6,sum,Unnamed: 20
0,59,50,41,37,32,26,66,50,33,30.19,30.14,30.1,10,10,10,12,4,14,0,
1,59,51,42,43,37,29,71,56,41,30.19,30.15,30.09,10,10,10,13,3,16,0,
2,62,54,45,45,41,36,71,60,49,30.3,30.24,30.17,10,10,9,13,3,16,0,
3,66,56,45,49,43,38,83,62,40,30.35,30.29,30.25,10,8,5,13,4,16,0,
4,76,62,48,47,38,27,83,50,17,30.25,30.19,30.13,10,10,6,8,2,9,0,
5,80,65,50,54,34,20,72,42,11,30.2,30.15,30.08,10,10,10,14,4,17,0,
6,78,64,50,50,38,27,62,39,15,30.14,30.1,30.06,10,10,9,9,2,10,0,
7,68,62,55,57,47,36,90,61,32,30.11,30.05,30.01,10,9,4,9,3,12,0,
8,65,61,56,57,52,41,93,68,43,30.07,30.02,29.99,10,8,5,7,2,9,0,
9,70,62,53,57,51,41,93,67,40,30.06,30.01,29.96,10,7,0,10,3,13,T,"Fog , Rain"
10,62,60,57,58,55,51,90,84,78,30.12,30.05,29.99,10,6,2,7,1,8,0.2,Rain
11,67,63,59,57,56,52,93,80,67,30.21,30.14,30.09,10,8,2,15,3,18,0.17,Rain
12,67,62,56,54,52,39,86,66,46,30.15,30.1,30.03,10,9,5,13,3,15,0,
13,71,61,50,49,39,29,71,47,22,30.2,30.16,30.11,10,10,10,14,4,17,0,
14,73,62,50,47,40,31,71,47,22,30.24,30.2,30.17,10,10,10,13,3,15,0,
15,72,61,50,50,39,29,61,41,20,30.17,30.14,30.1,10,10,10,12,3,14,0,
16,70,61,51,57,43,36,63,46,28,30.23,30.17,30.12,10,10,9,9,2,10,0,
17,72,62,51,52,43,34,71,50,28,30.25,30.2,30.17,10,10,7,12,3,15,0,
18,68,59,50,55,49,40,74,62,49,30.19,30.12,30.06,10,9,5,10,3,13,0,
19,62,59,56,54,52,50,93,80,67,30.07,30.02,29.96,10,5,2,10,4,13,0,
20,67,62,57,54,50,46,72,64,56,30.1,30.02,29.97,10,6,4,13,5,15,0,
21,73,61,49,50,37,18,83,48,13,30.26,30.19,30.11,10,10,5,13,3,16,0,
