,high,avg,low,high.1,avg.1,low.1,high.2,avg.2,low.2,high.3,avg.3,low.3,high.4,avg.4,low.4,high.5,avg.5,high.6,sum,Unnamed: 20
0,64,54,43,36,19,15,50,33,16,30.16,30.1,30.06,10,10,6,8,3,11,0,
1,65,56,47,44,27,17,77,47,17,30.1,30.06,30.02,10,10,10,6,2,9,0,
2,62,53,44,46,39,29,77,58,38,30.03,29.94,29.81,10,10,10,10,1,14,0,
3,69,62,55,51,45,40,86,61,35,29.87,29.78,29.73,10,10,10,8,1,14,0.01,Rain
4,59,54,49,57,54,45,100,86,72,29.91,29.81,29.74,10,4,0,10,2,16,1.61,"Fog , Rain"
5,58,52,46,54,48,43,96,88,80,30.01,29.94,29.88,10,6,1,12,3,17,0.8,Rain
6,59,52,45,48,44,33,93,74,54,29.96,29.89,29.86,10,8,2,10,2,18,0.3,Rain
7,62,53,44,42,38,33,83,61,39,30.15,30.03,29.93,10,10,10,8,2,16,0,
8,60,53,46,50,43,37,83,66,49,30.25,30.19,30.15,10,10,8,6,1,10,T,
9,62,57,51,51,48,46,89,75,60,30.22,30.17,30.12,10,10,7,7,1,10,T,Rain
10,64,56,47,49,43,36,93,65,36,30.29,30.24,30.2,10,8,4,7,0,12,0,
11,70,58,46,46,34,23,83,50,17,30.24,30.18,30.12,10,10,10,10,2,16,0,
12,66,55,43,55,47,33,93,66,39,30.19,30.12,30.09,10,10,9,7,0,11,0,
13,65,58,50,52,49,46,89,73,56,30.14,30.09,30.05,10,9,6,8,2,13,0,
14,65,58,50,55,51,47,89,73,56,30.15,30.09,30.03,10,9,5,6,1,9,0,
15,67,61,54,54,52,47,93,76,58,30.22,30.15,30.1,10,9,6,8,1,11,0,
16,68,59,49,55,52,47,100,76,52,30.22,30.16,30.12,7,4,0,9,1,15,0,Fog
17,63,59,55,56,55,53,100,86,72,30.23,30.18,30.13,10,7,0,7,1,12,0,Fog
18,64,59,54,57,55,51,100,84,67,30.21,30.19,30.15,10,8,2,7,1,12,0.01,Rain
19,69,62,54,57,56,52,100,82,63,30.24,30.19,30.12,10,6,0,6,1,11,0.01,"Fog , Rain"
20,77,64,50,55,48,33,100,60,20,30.19,30.16,30.1,10,6,0,8,1,11,0,Fog
21,71,61,50,54,48,34,96,61,26,30.18,30.11,30.02,10,8,3,6,1,10,0,
22,64,59,54,55,50,34,93,67,40,30.07,30.02,29.97,10,8,5,9,1,15,0,
23,66,57,47,48,43,36,93,65,37,30.13,30.07,30.01,10,10,10,8,1,14,0,
24,71,61,50,44,39,34,71,48,25,30.14,30.09,30.04,10,10,10,8,1,13,0,
25,73,60,47,40,34,29,61,42,22,30.24,30.2,30.15,10,10,10,8,1,14,0,
26,73,63,52,34,25,18,40,27,13,30.28,30.22,30.17,10,10,10,7,2,12,0,
27,74,62,50,49,34,22,77,46,14,30.2,30.13,30.06,10,10,10,9,1,14,0,
28,72,61,50,55,50,42,87,67,47,30.09,30.03,29.97,10,10,7,7,1,14,0,
29,66,61,55,56,53,52,93,78,63,30.04,30,29.96,10,8,6,7,1,9,0,
30,59,55,50,55,50,28,100,71,41,29.99,29.79,29.6,10,7,1,16,5,32,0.43,Rain
31,58,51,43,32,25,20,62,43,23,30.17,30.02,29.8,10,10,10,16,6,32,0,
32,62,52,41,39,29,21,66,47,27,30.23,30.19,30.15,10,10,10,8,1,15,0,
33,65,54,43,42,35,28,76,51,26,30.37,30.31,30.23,10,10,9,8,1,14,0,
34,70,58,46,36,29,25,50,36,21,30.36,30.28,30.21,10,10,10,7,1,13,0,
35,76,61,46,36,28,19,53,33,12,30.33,30.27,30.22,10,10,10,6,1,9,0,
36,77,64,50,32,27,22,42,28,13,30.28,30.21,30.13,10,10,3,8,1,12,0,
37,84,68,51,35,27,21,44,27,10,30.15,30.11,30.06,10,10,10,7,1,10,0,
38,88,71,53,38,32,22,51,30,9,30.13,30.1,30.06,10,10,10,7,1,10,0,
39,89,73,56,41,32,24,43,27,10,30.16,30.1,30.04,10,10,5,8,1,11,0,
40,88,75,61,42,33,25,48,30,11,30.15,30.09,30.04,10,10,8,8,2,12,0,
41,87,73,59,42,34,27,46,29,12,30.11,30.08,30.03,10,10,6,7,2,10,0,
42,85,71,56,54,42,29,80,47,13,30.11,30.07,30.01,10,10,8,8,1,12,0,
43,75,63,51,53,51,45,100,68,35,30.1,30.06,30.02,10,4,0,8,1,11,0,Fog
44,79,64,48,52,49,45,96,65,33,30.06,30.02,29.94,10,5,2,7,0,10,0,
45,89,72,55,50,43,34,72,44,15,29.99,29.94,29.88,10,10,9,8,1,13,0,
46,90,74,58,49,39,32,60,37,14,29.94,29.87,29.8,10,10,10,9,2,15,0,
47,76,66,55,60,50,38,97,62,27,29.91,29.86,29.82,10,7,2,12,2,18,0.58,Rain
48,68,62,56,57,53,47,93,71,48,30.04,29.97,29.88,10,8,2,9,2,13,0.21,Rain
49,69,60,51,52,49,45,89,69,48,30.12,30.08,30.03,10,10,10,8,1,13,0,
50,72,61,50,52,48,44,86,62,38,30.12,30.07,30.02,10,10,10,8,1,12,0,
51,73,62,50,55,50,45,93,66,38,30.1,30.06,30.02,10,10,9,8,0,13,0,
52,78,65,51,54,45,22,96,56,16,30.02,29.95,29.89,10,9,5,8,2,14,0,
53,83,69,55,41,31,23,43,27,11,30.06,29.97,29.91,10,10,9,8,2,13,0,
54,81,70,58,37,27,23,39,26,12,30.13,30.06,29.99,10,10,10,8,2,13,0,
55,83,70,57,52,35,24,67,40,13,30.08,30.04,30.01,10,10,10,9,2,14,0,
56,79,67,54,56,46,38,84,55,25,30.1,30.06,30.02,10,9,2,10,2,15,0,
57,74,64,53,56,54,49,100,75,49,30.06,30.03,29.95,10,6,0,8,1,13,0,Fog
58,75,66,56,57,56,54,100,77,53,30.04,30,29.95,10,5,0,8,0,13,0,Fog
59,74,65,56,58,56,54,100,75,49,30.06,30.02,29.96,8,3,1,7,1,11,0,
60,76,66,56,56,55,53,100,73,46,30.11,30.06,30.03,5,3,0,7,0,10,0,Fog
61,73,63,52,56,54,50,100,77,53,30.1,30.07,30.03,10,5,0,9,1,13,0,Fog
