price,vol,change,datename,high,low,avgla,avgsd,multtemph,addtemph,multtempl,addtempl,doy,dow,month,numt,numc,date,multtemp,addtemp,cloud,totalpayint,totalempint,totalestint,ngprice,fogsd,rainsd,raintsd,rainfsd,fogla,rainla,raintla,rainfla,cloudla,cloudsd,highla,highsd,lowla,lowsd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1/2/02,,,,,,,,,,,,,,15342,,,,,,,,,,,,,,,,,,,,,
,,,1/3/02,,,,,,,,,,,,,,15343,,,,,,,,,,,,,,,,,,,,,
,,,1/4/02,,,,,,,,,,,,,,15344,,,,,,,,,,,,,,,,,,,,,
,,,1/7/02,,,,,,,,,,,,,,15347,,,,,,,,,,,,,,,,,,,,,
,,,1/8/02,,,,,,,,,,,,,,15348,,,,,,,,,,,,,,,,,,,,,
,,,1/9/02,,,,,,,,,,,,,,15349,,,,,,,,,,,,,,,,,,,,,
,,,1/10/02,,,,,,,,,,,,,,15350,,,,,,,,,,,,,,,,,,,,,
,,,1/11/02,,,,,,,,,,,,,,15351,,,,,,,,,,,,,,,,,,,,,
,,,1/14/02,,,,,,,,,,,,,,15354,,,,,,,,,,,,,,,,,,,,,
,,,1/15/02,,,,,,,,,,,,,,15355,,,,,,,,,,,,,,,,,,,,,
,,,1/16/02,,,,,,,,,,,,,,15356,,,,,,,,,,,,,,,,,,,,,
,,,1/17/02,,,,,,,,,,,,,,15357,,,,,,,,,,,,,,,,,,,,,
,,,1/18/02,,,,,,,,,,,,,,15358,,,,,,,,,,,,,,,,,,,,,
,,,1/21/02,,,,,,,,,,,,,,15361,,,,,,,,,,,,,,,,,,,,,
,,,1/22/02,,,,,,,,,,,,,,15362,,,,,,,,,,,,,,,,,,,,,
,,,1/23/02,,,,,,,,,,,,,,15363,,,,,,,,,,,,,,,,,,,,,
,,,1/24/02,,,,,,,,,,,,,,15364,,,,,,,,,,,,,,,,,,,,,
,,,1/25/02,,,,,,,,,,,,,,15365,,,,,,,,,,,,,,,,,,,,,
,,,1/28/02,,,,,,,,,,,,,,15368,,,,,,,,,,,,,,,,,,,,,
,,,1/29/02,,,,,,,,,,,,,,15369,,,,,,,,,,,,,,,,,,,,,
,,,1/30/02,,,,,,,,,,,,,,15370,,,,,,,,,,,,,,,,,,,,,
,,,1/31/02,,,,,,,,,,,,,,15371,,,,,,,,,,,,,,,,,,,,,
,,,2/1/02,,,,,,,,,,,,,,15372,,,,,,,,,,,,,,,,,,,,,
,,,2/4/02,,,,,,,,,,,,,,15375,,,,,,,,,,,,,,,,,,,,,
,,,2/5/02,,,,,,,,,,,,,,15376,,,,,,,,,,,,,,,,,,,,,
,,,2/6/02,,,,,,,,,,,,,,15377,,,,,,,,,,,,,,,,,,,,,
,,,2/7/02,,,,,,,,,,,,,,15378,,,,,,,,,,,,,,,,,,,,,
,,,2/8/02,,,,,,,,,,,,,,15379,,,,,,,,,,,,,,,,,,,,,
,,,2/11/02,,,,,,,,,,,,,,15382,,,,,,,,,,,,,,,,,,,,,
,,,2/12/02,,,,,,,,,,,,,,15383,,,,,,,,,,,,,,,,,,,,,
,,,2/13/02,,,,,,,,,,,,,,15384,,,,,,,,,,,,,,,,,,,,,
,,,2/14/02,,,,,,,,,,,,,,15385,,,,,,,,,,,,,,,,,,,,,
,,,2/15/02,,,,,,,,,,,,,,15386,,,,,,,,,,,,,,,,,,,,,
,,,2/19/02,,,,,,,,,,,,,,15390,,,,,,,,,,,,,,,,,,,,,
,,,2/20/02,,,,,,,,,,,,,,15391,,,,,,,,,,,,,,,,,,,,,
,,,2/21/02,,,,,,,,,,,,,,15392,,,,,,,,,,,,,,,,,,,,,
,,,2/22/02,,,,,,,,,,,,,,15393,,,,,,,,,,,,,,,,,,,,,
,,,2/25/02,,,,,,,,,,,,,,15396,,,,,,,,,,,,,,,,,,,,,
,,,2/26/02,,,,,,,,,,,,,,15397,,,,,,,,,,,,,,,,,,,,,
,,,2/27/02,,,,,,,,,,,,,,15398,,,,,,,,,,,,,,,,,,,,,
,,,2/28/02,,,,,,,,,,,,,,15399,,,,,,,,,,,,,,,,,,,,,
