date,Total for all sectors,Accommodation and food services,Administrative and support and waste management and remediation services,"Agriculture, forestry, fishing and hunting","Arts, entertainment, and recreation",Construction,Educational services,Finance and insurance,Health care and social assistance,Industries not classified,Information,Management of companies and enterprises,Manufacturing,Mining ,Other services (except public administration),"Professional, scientific, and technical services",Real estate and rental and leasing,Retail trade,Transportation and warehousing,Utilities,Wholesale trade,Total for all sectors employees,Accommodation and food services employees,Administrative and support and waste management and remediation services employees,"Agriculture, forestry, fishing and hunting employees","Arts, entertainment, and recreation employees",Construction employees,Educational services employees,Finance and insurance employees,Health care and social assistance employees,Industries not classified employees,Information employees,Management of companies and enterprises employees,Manufacturing employees,Mining  employees,Other services (except public administration) employees,"Professional, scientific, and technical services employees",Real estate and rental and leasing employees,Retail trade employees,Transportation and warehousing employees,Utilities employees,Wholesale trade employees,Total for all sectors payroll,Accommodation and food services payroll,Administrative and support and waste management and remediation services payroll,"Agriculture, forestry, fishing and hunting payroll","Arts, entertainment, and recreation payroll",Construction payroll,Educational services payroll,Finance and insurance payroll,Health care and social assistance payroll,Industries not classified payroll,Information payroll,Management of companies and enterprises payroll,Manufacturing payroll,Mining  payroll,Other services (except public administration) payroll,"Professional, scientific, and technical services payroll",Real estate and rental and leasing payroll,Retail trade payroll,Transportation and warehousing payroll,Utilities payroll,Wholesale trade payroll
15706,63857,37907,23335,784,12503,36119,5691,27763,52842,2400,13190,2667,31021,480,40564,58488,26369,63857,11457,725,40852,934975,716568,601220,11119,176180,454726,174894,402708,841990,3788,276959,164549,992709,8288,346776,718235,185078,934975,276118,32518,513604,22394932,10391525,15425381,262602,8012952,17638665,5150413,27210212,31322767,83596,18695983,11476032,39016505,459473,7851121,33744770,7107511,22394932,10174757,2303303,24093490
16071,64455,39219,23622,759,13094,37138,5888,28833,54284,3081,13310,2566,30466,481,40839,60982,28251,64455,11837,689,40513,989467,745607,596874,10599,180648,477619,186104,418974,871499,3873,287062,164194,979614,9426,344304,747982,190446,989467,284093,28264,513476,23694106,11080747,15971507,249892,8572096,19413365,5671946,29903923,33273336,89834,18480855,11790847,41557960,620113,8185094,36377538,7772921,23694106,10670759,2057712,25753539
16437,65647,40393,24521,673,13793,39252,6044,30388,55431,1782,13681,2627,29678,494,41417,63940,30451,65647,12270,704,41082,976044,778952,626687,10153,190202,497230,185175,426396,864729,2727,296607,170245,962429,9481,346227,652920,201591,976044,286481,28773,524246,24834950,11915256,16763457,237652,8684583,21888864,5337536,31767660,35023410,54345,19975516,13094304,42332834,668027,8509498,37935166,8722603,24834950,11212280,2217228,27615495
16802,66451,41255,25207,669,14299,40960,6188,31881,56365,1968,13844,2712,29337,532,41370,66820,31276,66451,12835,689,41732,1011633,800937,654509,6024,191498,563158,196557,453221,895041,1787,316050,165702,946988,10777,352674,668824,207859,1011633,292374,29639,539996,26518238,12817245,18057711,151362,9016686,24494968,5881795,34514353,37319032,52135,21477848,13892330,43899208,779427,8903782,42137881,9506107,26518238,12025000,2294190,29750238
17167,66913,42858,25315,687,14783,42552,6562,32496,57760,851,14353,2869,29090,514,41976,68796,31101,66913,13323,710,42611,1020586,815473,636877,11727,191916,537409,192515,419653,919558,737,313581,160410,905601,13366,350876,691603,205190,1020586,299575,2513,537017,26933691,13692694,18601124,293284,9544617,24770830,5993663,32783351,40583006,20570,21639448,14005183,42403146,884060,9340556,46792666,9225900,26933691,12361366,189228,30234618
17532,65311,43312,25711,650,14976,41442,6660,31208,58431,977,13858,2883,28328,28328,41080,67224,29348,65311,13495,678,42634,990239,849513,625970,11385,195143,492431,204393,399528,950849,993,332185,147890,898799,898799,351852,679594,195222,990239,305292,0,558492,25389475,14585309,18323391,305961,9929902,23229328,6560278,31970618,43196190,27133,23175564,13322476,42798839,42798839,9299382,47308949,9007693,25389475,12495087,74083,31642364
17891,63384,42972,24942,643,15027,38280,6746,30057,59525,1238,13521,2893,26476,26476,40302,66742,28233,63384,13147,667,41571,921855,805209,555763,10713,190707,393002,205716,364132,968568,1156,313783,151780,821376,821376,332128,650613,180199,921855,278680,0,519738,24069458,13984091,17015932,304707,9643612,18524447,6704364,27182432,45250966,55616,22398060,13239691,41221241,41221241,8860066,45449849,8188891,24069458,11485607,78909,29297695
18263,62433,42986,24404,639,15310,36128,6880,29140,60807,1282,13489,2865,25279,25279,40150,67540,28564,62433,12963,684,40856,879305,787864,552936,10343,189346,342137,207932,339744,978923,240,289306,147343,746408,746408,324119,667671,169810,879305,269419,1034,494305,24138465,14222493,17944882,299491,10036522,16247117,7046700,28293031,46111166,27654,22072814,13438581,38894077,38894077,8803318,46296513,8141742,24138465,11558991,85158,29220231
18628,62655,43535,24233,628,15596,35334,7003,28754,61263,1240,13662,2788,24937,24937,40160,68029,28620,62655,13167,708,40460,905793,810367,567345,10474,184352,328094,222732,340570,999143,234,289394,151648,740589,740589,321817,733183,173497,905793,277231,7073,492552,25074953,14911974,18095652,314556,9950293,16454936,7548901,28913670,48173628,27150,23494750,14065956,40035799,40035799,8871116,48728606,8353688,25074953,12306893,726094,30999331
18993,62744,44677,24970,651,16174,35746,7416,29649,62481,594,14181,2934,25224,25224,41164,68523,30008,62744,13283,706,42027,920302,839522,639056,11108,186486,331502,229091,340949,1013703,403,298193,165793,743155,743155,328963,653764,177535,920302,288369,7122,503391,25563565,15569130,20999069,341764,10725193,17107508,7854915,30609840,50375861,16463,25762640,15429246,40716732,40716732,9256539,48351570,9071457,25563565,13025044,601899,31533085
19359,63137,45644,25319,637,16603,36029,7629,29644,63523,962,14233,3030,24791,24791,41281,70179,31059,63137,13366,728,42048,952994,880819,691818,9499,193550,354567,232425,343479,1043554,425,330031,164801,751817,751817,329365,645488,180261,952994,291575,6934,516007,26433964,16652057,22450217,303125,10611225,18690277,8143677,31935147,51827816,29198,26339980,15180640,42377225,42377225,9388373,50353306,9520838,26433964,13381528,609011,31955121
19724,63692,46717,25564,617,17528,36864,7849,29810,64664,1422,14594,3096,24831,24831,42012,72195,31839,63692,13910,758,42351,984645,924692,679929,9044,208904,373256,235013,340951,1060288,742,366635,164103,744155,744155,338777,721769,182324,984645,300328,6819,513294,28108289,18022994,22559346,307067,11771391,20047139,8589736,33454821,54008230,47193,26169651,15669563,42623122,42623122,9897158,54664281,10329678,28108289,14471781,620478,33097482
20089,64477,47917,25919,638,18549,38084,8007,30122,66498,1761,15026,3146,24885,24885,42658,73808,32926,64477,14725,769,42437,1011284,971016,672422,8866,218652,394423,240375,344124,1097849,2182,379408,166259,749347,749347,341784,734960,184821,1011284,316555,32275,522701,29695300,19927769,23682954,317637,12539275,22425355,8998703,34723295,57123587,61279,27430354,16163304,43714586,43714586,10489714,58089759,10883265,29695300,15715914,3488651,34828587
