Row Labels,Sum of Number of establishments,Sum of Paid employees for pay period including March 12 (number),"Sum of Annual payroll ($1,000)"
2003,,,
Total for all sectors,489014,7833921,292845497
Accommodation and food services,37907,716568,10391525
Administrative and support and waste management and remediation services,23335,601220,15425381
"Agriculture, forestry, fishing and hunting",784,11119,262602
"Arts, entertainment, and recreation",12503,176180,8012952
Construction,36119,454726,17638665
Educational services,5691,174894,5150413
Finance and insurance,27763,402708,27210212
Health care and social assistance,52842,841990,31322767
Industries not classified,2400,3788,83596
Information,13190,276959,18695983
Management of companies and enterprises,2667,164549,11476032
Manufacturing,31021,992709,39016505
Mining ,480,8288,459473
Other services (except public administration),40564,346776,7851121
"Professional, scientific, and technical services",58488,718235,33744770
Real estate and rental and leasing,26369,185078,7107511
Retail trade,63857,934975,22394932
Transportation and warehousing,11457,276118,10174757
Utilities,725,32518,2303303
Wholesale trade,40852,513604,24093490
2004,,,
Total for all sectors,500307,8036662,311663577
Accommodation and food services,39219,745607,11080747
Administrative and support and waste management and remediation services,23622,596874,15971507
"Agriculture, forestry, fishing and hunting",759,10599,249892
"Arts, entertainment, and recreation",13094,180648,8572096
Construction,37138,477619,19413365
Educational services,5888,186104,5671946
Finance and insurance,28833,418974,29903923
Health care and social assistance,54284,871499,33273336
Industries not classified,3081,3873,89834
Information,13310,287062,18480855
Management of companies and enterprises,2566,164194,11790847
Manufacturing,30466,979614,41557960
Mining ,481,9426,620113
Other services (except public administration),40839,344304,8185094
"Professional, scientific, and technical services",60982,747982,36377538
Real estate and rental and leasing,28251,190446,7772921
Retail trade,64455,989467,23694106
Transportation and warehousing,11837,284093,10670759
Utilities,689,28264,2057712
Wholesale trade,40513,513476,25753539
2005,,,
Total for all sectors,514268,8043540,329309535
Accommodation and food services,40393,778952,11915256
Administrative and support and waste management and remediation services,24521,626687,16763457
"Agriculture, forestry, fishing and hunting",673,10153,237652
"Arts, entertainment, and recreation",13793,190202,8684583
Construction,39252,497230,21888864
Educational services,6044,185175,5337536
Finance and insurance,30388,426396,31767660
Health care and social assistance,55431,864729,35023410
Industries not classified,1782,2727,54345
Information,13681,296607,19975516
Management of companies and enterprises,2627,170245,13094304
Manufacturing,29678,962429,42332834
Mining ,494,9481,668027
Other services (except public administration),41417,346227,8509498
"Professional, scientific, and technical services",63940,652920,37935166
Real estate and rental and leasing,30451,201591,8722603
Retail trade,65647,976044,24834950
Transportation and warehousing,12270,286481,11212280
Utilities,704,28773,2217228
Wholesale trade,41082,524246,27615495
2006,,,
Total for all sectors,526390,8315495,354191332
Accommodation and food services,41255,800937,12817245
Administrative and support and waste management and remediation services,25207,654509,18057711
"Agriculture, forestry, fishing and hunting",669,6024,151362
"Arts, entertainment, and recreation",14299,191498,9016686
Construction,40960,563158,24494968
Educational services,6188,196557,5881795
Finance and insurance,31881,453221,34514353
Health care and social assistance,56365,895041,37319032
Industries not classified,1968,1787,52135
Information,13844,316050,21477848
Management of companies and enterprises,2712,165702,13892330
Manufacturing,29337,946988,43899208
Mining ,532,10777,779427
Other services (except public administration),41370,352674,8903782
"Professional, scientific, and technical services",66820,668824,42137881
Real estate and rental and leasing,31276,207859,9506107
Retail trade,66451,1011633,26518238
Transportation and warehousing,12835,292374,12025000
Utilities,689,29639,2294190
Wholesale trade,41732,539996,29750238
2007,,,
Total for all sectors,536120,8259263,362952042
Accommodation and food services,42858,815473,13692694
Administrative and support and waste management and remediation services,25315,636877,18601124
