date,ngprice
15707,4.93
15708,5.13
15711,4.94
15712,4.89
15713,5.07
15714,5.05
15715,5.19
15718,5.23
15719,5.25
15720,5.21
15721,5.5
15722,5.66
15726,5.47
15727,5.72
15728,6.55
15729,5.91
15732,5.91
15733,5.52
15734,5.61
15735,5.76
15736,5.58
15739,5.71
15740,6.26
15741,6.22
15742,6.08
15743,6.3
15746,6.35
15747,6.19
15748,6.19
15749,5.81
15750,5.88
15754,6.09
15755,6.1
15756,6.38
15757,6.73
15760,11.98
15761,18.48
15762,10.47
15763,8.42
15764,10.81
15767,8.51
15768,7.71
15769,7.8
15770,7.57
15771,7.42
15774,6.78
15775,6.25
15776,5.8
15777,5.71
15778,5.17
15781,5.32
15782,5.13
15783,5.2
15784,5.2
15785,5.05
15788,5.07
15789,5.07
15790,4.9
15791,4.87
15792,5.06
15795,5.01
15796,4.9
15797,4.89
15798,4.91
15799,4.86
15802,4.98
15803,5.21
15804,5.11
15805,5.18
15806,5.28
15809,5.29
15810,5.53
15811,5.62
15812,5.54
15816,5.55
15817,5.58
15818,5.58
15819,5.46
15820,5.39
15823,5.3
15824,5.12
15825,5.25
15826,5.32
15827,5.24
15830,5.36
15831,5.64
15832,5.49
15833,5.65
15834,5.73
15837,5.91
15838,5.98
15839,6.17
15840,6.24
15841,5.96
15844,6.08
15845,5.93
15846,6.08
15847,6.09
15848,5.92
15852,5.84
15853,5.71
15854,5.76
15855,5.99
15858,6.22
15859,6.25
15860,6.4
15861,6.17
15862,6.25
15865,6.25
15866,6.08
15867,6.06
15868,5.86
15869,5.44
15872,5.45
15873,5.66
15874,5.53
15875,5.53
15876,5.68
15879,5.89
15880,5.84
15881,5.64
15882,5.49
15883,5.19
15886,5.31
15887,5.22
15888,5.05
15889,4.96
15893,5.2
15894,5.4
15895,5.56
15896,5.4
15897,5.22
15900,5.15
15901,5.17
15902,5
15903,4.96
15904,5.01
15907,5.11
15908,5.04
15909,4.88
15910,4.86
15911,4.68
15914,4.68
15915,4.72
15916,4.68
15917,4.63
15918,4.71
15921,4.81
15922,4.71
15923,4.74
15924,4.85
15925,5.02
15928,5.08
15929,5.06
15930,5.17
15931,5.1
15932,4.83
15935,4.94
15936,4.99
15937,5.03
15938,5.14
15939,5.24
15942,5.26
15943,5.09
15944,5.11
15945,4.94
15946,4.86
15950,4.62
15951,4.68
15952,4.7
15953,4.76
15956,4.82
15957,4.7
15958,4.78
15959,4.85
15960,4.66
15963,4.66
15964,4.67
15965,4.61
15966,4.52
15967,4.33
15970,4.38
15971,4.51
15972,4.58
15973,4.55
15974,4.42
15977,4.57
15978,4.66
15979,4.47
15980,4.42
15981,4.34
15984,4.4
15985,4.66
15986,4.84
15987,4.78
15988,4.92
15991,4.96
15992,4.84
15993,4.93
15994,4.92
15995,4.53
15998,4.3
15999,4.64
16000,4.89
16001,4.9
16002,4.78
16005,4.56
16006,4.45
16007,4.51
16008,4.4
16009,3.98
16012,4.12
16013,4.01
16014,4.46
16015,4.74
16016,4.48
16019,4.42
16020,4.52
16021,4.77
16022,4.6
16023,4.62
16026,4.49
16027,4.35
16028,4.46
16029,4.35
16030,4.15
16033,4.57
16034,4.49
16035,4.86
16040,5.02
16041,5.45
16042,5.45
16043,5.7
16044,6.27
16047,6.06
16048,6.52
16049,6.67
16050,6.56
16051,6.73
16054,6.63
16055,6.58
16056,6.56
16057,6.98
16058,6.92
16061,6.32
16062,5.58
16063,5.5
16068,5.46
16069,5.96
16070,5.76
16075,6.28
16076,7.04
16077,6.61
16078,6.41
16079,6.91
16082,6.29
16083,6.26
16084,5.73
16085,6.02
16086,5.43
16090,6.15
16091,6.26
16092,6.03
16093,5.82
16096,5.7
16097,5.87
16098,6.04
16099,5.99
16100,5.8
16103,5.51
16104,5.69
16105,5.74
16106,5.54
16107,5.38
16110,5.44
16111,5.49
16112,5.34
16113,5.35
16114,5.62
16118,5.43
16119,5.33
16120,5.28
16121,5.19
16124,5.1
16125,5.08
16126,5.1
16127,5.13
16128,5.27
16131,5.17
16132,5.37
16133,5.34
16134,5.17
16135,5.32
16138,5.42
16139,5.34
16140,5.33
16141,5.33
16142,5.52
16145,5.59
16146,5.6
16147,5.61
16148,5.63
16149,5.49
16152,5.46
16153,5.36
16154,5.35
16155,5.22
16156,5.16
16159,5.25
16160,5.4
16161,5.63
16162,5.82
16163,5.69
16166,5.81
16167,5.7
16168,5.76
16169,5.84
16173,5.85
16174,5.92
16175,5.73
16176,5.68
16177,5.62
16180,5.57
16181,5.46
16182,5.52
16183,5.59
16184,5.53
16187,5.6
16188,5.81
16189,5.8
16190,5.78
16191,5.81
16194,5.8
16195,6.21
16196,6.09
16197,6.22
16198,6.18
16201,6.14
16202,6.24
16203,6.41
16204,6.42
16205,6.43
16208,6.41
16209,6.28
16210,6.18
16211,6.44
16212,6.35
16215,6.48
16216,6.73
16217,6.7
16218,6.51
16219,6.45
16223,6.45
16224,6.51
16225,6.44
16226,6.15
16229,6.09
16230,6.19
16231,6.04
16232,6
16236,6.15
16237,6.35
16238,6.38
16239,6.57
16240,6.48
16243,6.42
16244,6.29
16245,6.3
16246,6.41
16247,6.28
16250,6.13
16251,6.02
16252,6.03
16253,5.95
16254,5.88
16258,6.16
16259,6.27
16260,6.19
16261,5.89
16264,5.95
16265,5.85
16266,5.91
16267,5.92
16268,5.77
16271,5.75
16272,5.8
16273,5.9
16274,5.85
16275,5.98
16278,5.94
16279,5.87
16280,5.77
16281,5.93
16282,6.03
16285,5.86
16286,5.77
16287,5.7
16288,5.54
16289,5.42
16292,5.58
16293,5.78
16294,5.64
16295,5.46
16296,5.27
16299,5.34
16300,5.27
16301,5.36
16302,5.34
16303,5.39
16306,5.34
16307,5.23
16308,5.32
16309,5.19
16310,5.05
16313,5.05
16314,5.04
16315,5.02
16316,4.75
16317,4.32
16321,4.41
16322,4.69
16323,4.57
16324,4.57
16327,5.12
16328,5.15
16329,5.17
16330,4.82
16331,4.95
16334,5.22
16335,5.43
16336,5.58
16337,5.58
16338,5.41
16341,5.22
16342,5.45
16343,6.26
16344,6.36
16345,5.38
16348,5.72
16349,6.07
16350,6
16351,6.24
16352,5.59
16355,5.63
16356,5.63
16357,5.38
16358,5.76
16359,5.64
16362,5.64
16363,6.13
16364,7.27
16365,7.35
16366,7.11
16369,7.75
16370,7.78
16371,8.12
16372,6.8
16373,6.43
16376,6.98
16377,6.88
16378,7.25
16379,7.4
16380,6.08
16383,6.62
16384,5.79
16385,6.12
16386,6.19
16387,5.9
16390,6.02
16391,6.57
16392,6.06
16393,5.59
16394,4.81
16397,5.24
16398,5.24
16399,5.01
16404,6.76
16405,6.79
16406,6.78
16407,6.69
16408,6.04
16411,6.05
16412,6.03
16413,5.98
16414,6.04
16415,6.29
16418,6.89
16419,7.1
16420,7.04
16421,6.88
16422,7.26
16425,7.14
16426,6.83
16427,7.05
16428,6.98
16432,6.57
16433,6.27
16434,6.18
16435,6.02
16439,5.53
16440,5.71
16441,5.84
16442,5.79
16443,5.82
16446,6.21
16447,5.96
16448,5.89
16449,6.06
16450,6.45
16454,6.69
16455,6.19
16456,6.27
16457,6.43
16460,6.41
16461,6.44
16462,6.44
16463,6.5
16464,6.23
16467,6.14
16468,6.28
16469,6.38
16470,6.32
16471,6.12
16474,6.02
16475,5.95
16476,6.2
16477,6.21
16478,6.02
16481,5.95
16482,6.01
16483,6.1
16484,6.05
16485,5.88
